Exchange Rates	1 Unit Local Currency in USD			
				
	Gary	Frankfurt	Mexico	Sunchem
January	1	 1.2932 	 0.0725 	 0.0082 
February	1	 1.3077 	 0.0780 	 0.0083 
March	1	 1.3501 	 0.0846 	 0.0081 
April	1	 1.3211 	 0.0751 	 0.0083 
May	1	 1.2851 	 0.0761 	 0.0082 
June	1	 1.3554 	 0.0775 	 0.0083 
July	1	 1.3129 	 0.0857 	 0.0082 
August	1	 1.2971 	 0.0809 	 0.0081 
September	1	 1.2742 	 0.0776 	 0.0082 
October	1	 1.3581 	 0.0721 	 0.0081 
November	1	 1.3583 	 0.0776 	 0.0083 
December	1	 1.2505 	 0.0827 	 0.0082 
