Region	Country Code	IncomeGroup
East Asia & Pacific	ASM	Upper middle income
East Asia & Pacific	AUS	High income
East Asia & Pacific	BRN	High income
East Asia & Pacific	CHN	Upper middle income
East Asia & Pacific	FJI	Upper middle income
East Asia & Pacific	FSM	Lower middle income
East Asia & Pacific	GUM	High income
East Asia & Pacific	HKG	High income
East Asia & Pacific	IDN	Lower middle income
East Asia & Pacific	JPN	High income
East Asia & Pacific	KHM	Lower middle income
East Asia & Pacific	KIR	Lower middle income
East Asia & Pacific	KOR	High income
East Asia & Pacific	LAO	Lower middle income
East Asia & Pacific	MAC	High income
East Asia & Pacific	MHL	Upper middle income
East Asia & Pacific	MMR	Lower middle income
East Asia & Pacific	MNG	Lower middle income
East Asia & Pacific	MNP	High income
East Asia & Pacific	MYS	Upper middle income
East Asia & Pacific	NCL	High income
East Asia & Pacific	NRU	High income
East Asia & Pacific	NZL	High income
East Asia & Pacific	PHL	Lower middle income
East Asia & Pacific	PLW	Upper middle income
East Asia & Pacific	PNG	Lower middle income
East Asia & Pacific	PRK	Low income
East Asia & Pacific	PYF	High income
East Asia & Pacific	SGP	High income
East Asia & Pacific	SLB	Lower middle income
East Asia & Pacific	THA	Upper middle income
East Asia & Pacific	TLS	Lower middle income
East Asia & Pacific	TON	Lower middle income
East Asia & Pacific	TUV	Upper middle income
East Asia & Pacific	VNM	Lower middle income
East Asia & Pacific	VUT	Lower middle income
East Asia & Pacific	WSM	Lower middle income
Europe & Central Asia	ALB	Upper middle income
Europe & Central Asia	AND	High income
Europe & Central Asia	ARM	Lower middle income
Europe & Central Asia	AUT	High income
Europe & Central Asia	AZE	Upper middle income
Europe & Central Asia	BEL	High income
Europe & Central Asia	BGR	Upper middle income
Europe & Central Asia	BIH	Upper middle income
Europe & Central Asia	BLR	Upper middle income
Europe & Central Asia	CHE	High income
Europe & Central Asia	CHI	High income
Europe & Central Asia	CYP	High income
Europe & Central Asia	CZE	High income
Europe & Central Asia	DEU	High income
Europe & Central Asia	DNK	High income
