SKU_number	MarketingType	ReleaseYear	PurchaseAmt
546440	New	2013	37.53
642025	Original	2013	18.97
3474212	New	2016	0.00
3960104	New	2016	19.24
2067877	Original	2014	19.54
1680214	New	2014	18.55
1958019	Original	2014	16.94
2164841	Original	2013	25.31
539055	Original	2014	17.19
2031808	Original	2013	51.35
1988790	New	2013	27.18
1532256	New	2014	9.40
673896	New	2014	20.29
909998	Original	2013	5.48
644464	Original	2013	40.29
867776	New	2014	46.41
587832	Original	2013	33
1696693	New	2014	7.48
545718	Original	2013	25.76
877898	Original	2014	141.93
2017637	Original	2014	14.06
672841	Original	2014	5.82
1779356	Original	2014	17.9
1498621	Original	2013	19.8
1696941	New	2014	5.61
1718466	Original	2014	38.55
1891045	Original	2013	20.82
1856844	New	2013	28.56
660692	Original	2013	10.33
610204	Original	2014	48.54
629116	Original	2013	12.45
887445	Original	2015	35.77
1758789	New	2013	18.70
544733	Original	2013	4
868096	Original	2013	13.49
639057	New	2013	4.13
1980114	Original	2014	21.2
1957174	New	2013	0.00
3882943	New	2013	34.36
1638727	New	2014	10.00
1517557	New	2014	13.17
1526864	New	2014	8.53
2071579	Original	2013	27.34
663143	Original	2013	43.99
1548864	New	2013	29.78
1779278	New	2014	8.01
615352	Original	2013	8.6
864794	New	2014	31.80
1952533	New	2013	75.35
2216172	Original	2015	0
1437530	Original	2014	21.25
683579	Original	2013	23.77
610671	New	2013	45.21
2080734	Original	2013	4.49
652325	New	2013	19.89
2131436	Original	2013	0
2043886	New	2013	37.29
914281	New	2013	14.43
655224	Original	2013	35.37
894972	New	2014	19.67
867244	New	2014	30.49
630481	Original	2013	14.86
3609812	Original	2014	19.67
545176	New	2013	46.90
1437407	New	2014	50.92
2022527	New	2013	16.48
2045207	Original	2013	18.99
2203827	Original	2014	35.17
3717582	Original	2016	0
872046	Original	2014	23.99
877733	Original	2014	22.18
1829069	Original	2013	0
599644	Original	2013	13.78
610084	New	2013	17.40
861757	New	2013	43.33
540972	Original	2014	28.99
898868	New	2014	38.74
612509	Original	2014	14.38
2164486	Original	2014	152.91
2947946	New	2016	32.51
861933	New	2014	47.62
3561119	Original	2014	17.1
652412	New	2013	14.29
870430	New	2014	52.79
120368	New	2013	4.31
2153612	Original	2014	10.37
543769	Original	2013	57.87
1768263	Original	2013	11.18
1702318	Original	2014	16.85
544997	Original	2013	11.12
680052	Original	2013	4
867084	New	2014	5.55
1627736	Original	2013	25.6
2041792	New	2014	17.64
1780950	New	2014	20.37
1871906	Original	2014	11.84
1684305	New	2013	20.51
2089584	New	2014	28.85
1754964	New	2013	6.61
629085	Original	2013	30.85
655233	Original	2013	39.96
1627615	New	2013	17.94
2273995	New	2013	12.57
908165	New	2014	48.52
627855	New	2013	52.34
655032	Original	2013	31.74
1698011	Original	2014	19.54
2058139	Original	2013	17.78
2170109	Original	2014	4
543818	New	2013	30.72
1932835	Original	2014	42.2
864702	Original	2014	46.79
886702	Original	2013	5.09
1496618	New	2014	4.85
1471450	New	2014	10.67
1957145	New	2014	35.75
3751568	New	2013	14.46
