State	Numcol	Yieldpercol	Year
ND	400000	90	2008
KY	5000	67	2010
ND	390000	78	2004
WI	89000	91	1998
OH	11000	50	2009
ME	4000	34	2012
WA	56000	63	2004
VA	4000	40	2011
MT	132000	79	2006
WV	5000	40	2010
ID	95000	44	2006
MS	14000	98	2008
NM	6000	41	2003
CO	31000	55	2011
OR	42000	54	2004
UT	28000	42	2007
IL	8000	34	2009
VT	6000	91	2005
AR	25000	60	2010
IL	8000	56	2008
ME	6000	50	2009
IN	8000	53	2007
GA	65000	41	2009
ID	120000	50	1998
WY	39000	75	2004
NV	10000	35	2000
WV	6000	48	2007
WV	8000	47	2003
NJ	9000	57	2007
MS	16000	98	2010
NJ	9000	40	2008
VT	4000	65	2010
WI	68000	86	2004
HI	10000	95	2009
AL	9000	54	2010
MN	120000	74	2005
WV	7000	54	2000
MS	14000	98	2006
MD	7000	44	1998
MN	122000	65	2009
OK	3000	47	2003
FL	232000	105	2000
WA	62000	44	2009
CO	29000	60	2000
SD	260000	63	2012
IN	9000	32	2009
PA	29000	57	2002
MN	135000	75	2004
CA	355000	33	2009
WY	34000	36	2010
SD	220000	79	2005
TX	84000	71	2005
CA	410000	67	2010
AZ	30000	65	2006
WA	52000	54	2000
GA	65000	51	1999
UT	25000	38	2012
NJ	10000	19	2003
ID	1.00E+05	63	2004
ID	95000	37	2005
IA	40000	65	1999
VT	5000	49	2009
AL	16000	78	2000
PA	16000	60	2012
KY	5000	35	2009
NE	40000	68	2005
WY	37000	72	1999
MO	7000	53	2012
ID	103000	46	2009
NV	9000	62	2002
WA	48000	52	2001
WA	49000	52	2006
AR	22000	64	2011
OR	48000	51	2000
MS	18000	86	1998
IN	8000	62	2002
VA	8000	37	1998
ID	92000	32	2012
WY	38000	63	2002
VT	4000	60	2012
CO	23000	80	2004
AZ	40000	59	2000
NY	58000	64	2006
AZ	52000	62	1999
OR	46000	43	2007
KY	5000	56	2006
NC	12000	52	2008
MD	6000	46	2000
ME	11000	21	2000
AL	8000	54	2012
FL	220000	100	2001
MI	74000	64	2011
NY	45000	64	2010
ME	8000	26	2005
UT	25000	57	2003
IN	8000	64	2005
FL	205000	98	2004
MS	14000	104	2009
TN	7000	55	2005
LA	48000	114	1999
OH	16000	58	2004
GA	63000	74	2006
OR	50000	45	1998
CA	360000	51	2008
MN	120000	83	2003
KY	5000	54	2002
NY	59000	73	2005
NC	13000	44	2001
IA	28000	88	2005
ME	11000	20	2001
IA	35000	67	2004
AL	12000	87	2004
PA	21000	40	2009
WV	6000	39	1999
LA	35000	98	2004
IL	9000	63	2007
OH	15000	50	2003
AZ	35000	72	2003
WA	71000	38	2011
MO	11000	47	2009
KY	4000	39	2011
WA	46000	44	2007
WA	58000	56	2003
ID	87000	36	2011
IN	7000	54	2006
NC	8000	59	1998
AR	52000	89	1999
NY	65000	80	1998
IA	50000	78	1998
MI	71000	58	2010
KS	14000	55	2006
CO	26000	55	2001
PA	26000	66	1998
WI	60000	84	2007
KS	16000	46	1998
NY	64000	67	2004
ND	460000	71	2011
AZ	36000	50	2005
WI	80000	75	1999
WI	70000	95	2002
MD	4000	46	2001
IL	9000	41	2010
AL	17000	68	1999
VA	6000	39	2009
WI	58000	80	2008
NJ	14000	33	2012
OR	55000	34	2009
ME	7000	31	2004
MO	11000	52	2010
WI	67000	81	2001
ME	11000	23	2006
VA	5000	37	2010
CA	460000	61	2001
SD	235000	121	2000
NY	45000	65	2009
AR	52000	93	2000
AZ	43000	59	2001
SD	225000	47	2006
VA	8000	38	2002
MN	120000	53	2011
TX	105000	82	2007
CO	24000	86	2003
GA	60000	58	2007
ME	9000	26	2007
WY	35000	54	2011
OH	14000	61	2007
KS	7000	44	2011
SD	265000	58	2010
NJ	11000	49	1998
NM	14000	55	1998
MS	17000	72	2000
NE	48000	56	2009
MI	72000	55	2006
ND	420000	74	2007
UT	26000	50	2006
UT	23000	38	2001
FL	180000	61	2011
AZ	30000	64	2007
OH	15000	66	2011
WA	62000	41	2012
WI	63000	60	2009
IA	26000	81	2007
WI	60000	69	2012
TX	78000	58	2011
MI	73000	57	2012
ND	230000	128	1998
MT	140000	77	2004
UT	26000	30	2010
IL	7000	55	2004
LA	35000	97	2005
FL	220000	93	2002
