State Name	State Code	Region	Sub-Region				Price ($) per poundb by state by year															
Alabama	AL	South	East South Central																			
Alaska	AK	West	Pacific				State	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Arizona	AZ	West	Mountain				AL	0.72	0.56	0.59	0.72	1.18	1.24	1.41	1.02	1.21	1.49	1.9	1.86	2.4	2.51	2.47
Arkansas	AR	South	West South Central				AR	0.59	0.53	0.57	0.65	1.26	1.26	0.87	0.97	0.89	0.95	1.35	1.42	1.47	1.62	1.98
California	CA	West	Pacific				AZ	0.64	0.62	0.73	0.72	1.08	1.34	1.11	1.04	0.91	1.26	1.26	1.45	1.52	1.55	1.79
Colorado	CO	West	Mountain				CA	0.62	0.55	0.59	0.69	1.32	1.39	1.05	0.86	0.97	1.04	1.39	1.39	1.55	1.65	1.94
Connecticut	CT	Northeast	New England				CO	0.7	0.68	0.62	0.71	1.29	1.4	1.35	0.97	1.04	1.15	1.51	1.43	1.52	2	2.07
Delaware	DE	South	South Atlantic				FL	0.64	0.53	0.54	0.64	1.14	1.32	1.02	0.87	1	0.99	1.32	1.42	1.56	1.68	1.84
Florida	FL	South	South Atlantic				GA	0.69	0.64	0.63	0.7	1.13	1.28	1.2	0.89	1.2	1.19	1.52	1.47	1.67	1.65	1.92
Georgia	GA	South	South Atlantic				HI	0.77	0.8	0.82	0.87	1.11	1.45	1.59	1.43	1.21	1.7	1.59	1.76	2.75	3.65	4.15
Hawaii	HI	West	Pacific				IA	0.7	0.65	0.68	0.75	1.43	1.42	1.06	1.21	1.37	1.31	1.58	1.6	1.92	1.96	2.17
Idaho	ID	West	Mountain				ID	0.65	0.59	0.52	0.67	1.37	1.33	1.02	0.8	0.97	1.15	1.46	1.52	1.61	1.78	1.63
Illinois	IL	Midwest	East North Central				IL	1.19	1.15	1.17	1.58	1.47	1.83	1.86	1.84	2.14	2.49	2.59	2.55	2.78	3.9	3.55
Indiana	IN	Midwest	East North Central				IN	0.85	0.9	1.03	0.92	1.19	1.66	1.47	1.18	1.58	1.5	1.68	2.02	2.23	2.14	2.54
Iowa	IA	Midwest	West North Central				KS	0.87	1.11	0.91	0.96	1.5	1.41	1.18	1.05	1.17	1.18	1.55	1.85	2.02	2.15	2.28
Kansas	KS	Midwest	West North Central				KY	1.4	1.24	1.35	1.41	1.63	1.67	1.96	2.08	2.19	2.12	2.44	2.71	2.72	3.17	3.15
Kentucky	KY	South	East South Central				LA	0.59	0.49	0.52	0.6	1.16	1.24	0.79	0.72	0.9	1.08	1.36	1.36	1.5	1.67	1.83
Louisiana	LA	South	West South Central				MD	1.1	1.64	1.14	1.6	1.96	1.93									
Maine	ME	Northeast	New England				ME	0.69	0.83	0.75	0.79	1.21	1.41	1.28	1.66	1.6	1.32	1.57	1.95	2.05	1.98	2.39
Maryland	MD	South	South Atlantic				MI	0.66	0.66	0.6	0.81	1.4	1.41	1.16	0.94	1.15	1.19	1.44	1.55	1.67	1.81	2.03
Massachusetts	MA	Northeast	New England				MN	0.65	0.61	0.57	0.65	1.47	1.44	1.08	0.9	0.94	1.04	1.39	1.44	1.55	1.63	1.92
Michigan	MI	Midwest	East North Central				MO	0.76	0.68	0.6	0.71	1.42	1.41	1.36	1.22	0.98	1.12	1.68	1.99	1.8	2.14	2.8
Minnesota	MN	Midwest	West North Central				MS	0.58	0.54	0.69	0.89	1.23	1.29	0.79	0.67	0.93	0.91	1.3	1.32	1.44	1.53	1.77
Mississippi	MS	South	East South Central				MT	0.64	0.6	0.59	0.67	1.38	1.44	1.08	0.86	0.95	0.99	1.37	1.46	1.58	1.7	1.95
Missouri	MO	Midwest	West North Central				NC	1.38	1.62	1.43	1.48	1.41	1.92	1.93	1.88	1.57	2.49	2.18	2.57	2.66	2.83	3.76
Montana	MT	West	Mountain				ND	0.63	0.59	0.57	0.69	1.46	1.36	1.05	0.83	0.91	0.96	1.36	1.38	1.5	1.67	1.92
Nebraska	NE	Midwest	West North Central				NE	0.86	0.61	0.59	0.72	1.49	1.38	1.01	0.87	0.93	1.03	1.45	1.46	1.51	1.75	1.93
Nevada	NV	West	Mountain				NJ	0.76	0.57	0.61	0.85	1	1.6	1.4	1.2	1.14	1.96	1.62	2.36	1.9	3.7	1.97
New Hampshire	NH	Northeast	New England				NM	0.76	0.77	0.72	0.66	1.1	1.2	1.19	1.03	1.19	1.42	1.48	1.59	1.58	1.69	3.39
New Jersey	NJ	Northeast	Middle Atlantic				NV	1.65	1.54	1.45	2.14	2.67	2.04	1.78	3.11	3.62	2.99	1.42				
New Mexico	NM	West	Mountain				NY	0.7	0.66	0.55	0.79	1.25	1.36	1.36	1.34	1.3	1.38	1.65	1.93	1.96	1.96	2.23
New York	NY	Northeast	Middle Atlantic				OH	0.83	0.72	0.79	1.01	1.44	1.4	1.53	1.4	1.4	1.77	1.68	2.81	2.28	2.34	2.46
North Carolina	NC	South	South Atlantic				OK	1.24	1.34	1.26	1.43	1.63	1.84									
North Dakota	ND	Midwest	West North Central				OR	0.9	0.8	0.66	0.74	1.35	1.27	1.21	1.08	1.05	1.31	1.41	1.54	1.63	1.68	2.16
Ohio	OH	Midwest	East North Central				PA	0.8	0.76	0.76	0.92	1.34	1.44	1.42	1.12	1.63	1.7	1.65	2.03	2.13	2.55	2.57
Oklahoma	OK	South	West South Central				SC				0.79	1.25	1.89									
Oregon	OR	West	Pacific				SD	0.64	0.6	0.58	0.71	1.42	1.43	1.01	0.83	0.94	1.02	1.34	1.42	1.51	1.7	1.95
Pennsylvania	PA	Northeast	Middle Atlantic				TN	1.32	1.3	1.43	1.39	1.4	1.52	1.73	1.67	1.84	1.99	2.09	2.37	2.5	2.93	2.93
Rhode Island	RI	Northeast	New England				TX	0.62	0.64	0.57	0.65	1.14	1.4	0.97	0.86	0.89	0.96	1.34	1.39	1.51	1.78	2
South Carolina	SC	South	South Atlantic				UT	0.65	0.68	0.6	0.65	1.3	1.28	1.1	0.95	0.98	1.13	1.57	1.46	1.53	1.75	1.87
South Dakota	SD	Midwest	West North Central				VA	1.33	1.17	1.5	1.26	1.9	1.68	2.1	2.2	2.2	2.43	2.42	3.45	3.32	4.07	3.77
Tennessee	TN	South	East South Central				VT	0.85	0.63	0.68	0.92	1.2	1.96	1.51	1.12	1.2	1.7	2.2	2.01	3.1	2.31	2.39
Texas	TX	South	West South Central				WA	0.64	0.6	0.58	0.72	1.27	1.46	0.98	1.01	1.24	1.25	1.51	1.58	1.57	1.93	2.38
